Fecha,Tipo de norma,Iniciativa legislativa,Categoría,Temática,Estatus,Fase,Etiqueta,Subido,Directiva,Reglamento,Contenido de la etiqueta / * (La directiva europea y/o el reglamento de la UE no es lo principal de la iniciativa),BOCG,BOE,Entrada vigor,Comentarios,
3/2024,Otros,"Ley Orgánica 1/2025, de 2 de enero, de medidas en materia de eficiencia del Servicio Público de Justicia",Trasposición,Justicia,Concluida,Aprobada con modificaciones,Sí,SÍ,(UE) 2020/1828,,La iniciativa incluye la Directiva (UE) 2020/1828 relativa a las acciones de representación para la protección de los intereses colectivos de los consumidores.,https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121/000016,https://www.boe.es/boe/dias/2025/01/03/pdfs/BOE-A-2025-76.pdf,3/04/2025,https://www.boe.es/boe/dias/2025/01/11/pdfs/BOE-A-2025-461.pdf,
3/2024,Otros,"Ley Orgánica 4/2024, de 18 de octubre, por la que se modifica la Ley Orgánica 7/2014, de 12 de noviembre, sobre intercambio de información de antecedentes penales y consideración de resoluciones judiciales penales en la Unión Europea, para su adecuación a la normativa de la Unión Europea sobre el Sistema Europeo de Información de Antecedentes Penales (ECRIS).",Trasposición,Justicia,Concluida,Aprobada con modificaciones,Sí,SÍ,(UE) 2019/884,2019/816,"La trasposición de la Directiva (UE) 2019/884 y preceptos del Reglamento (UE) 2019/816 amplía la información sobre la identidad de personas con antecedentes penales, incorporando las huellas de ciudadanos que tengan dos nacionalidades. También busca fijar las circunstancias en las que la autoridad central autoriza a Eurojust a comunicar a un tercer Estado el nombre del Estado que posee la información que solicita.",https://www.congreso.es/es/proyectos-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=121/000017,https://www.boe.es/boe/dias/2024/10/19/pdfs/BOE-A-2024-21414.pdf,8/11/2024,,
1/2024,Real decreto-ley,"RDL 6/2023, de 19 de diciembre, por el que se aprueban medidas urgentes para la ejecución del Plan de Recuperación, Transformación y Resiliencia en materia de servicio público de justicia, función pública, régimen local y mecenazgo",Aviso, Adm. Publica,Concluida,Convalidado y tramitado como proyecto de ley,No,,,910/2014,* Se incorpora el Reglamento (UE) Nº 910/2014 en cuanto a la identificación por medios electrónicos en la Administración de Justicia.,https://www.congreso.es/es/busqueda-de-iniciativas?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=130/000001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_006_2023.pdf,,,
,Real decreto-ley,"RDL 7/2023, de 19 de diciembre, por el que se adoptan medidas urgentes, para completar la transposición de la Directiva (UE) 2019/1158, del Parlamento Europeo y del Consejo, de 20 de junio de 2019, relativa a la conciliación de la vida familiar y la vida profesional de los progenitores y los cuidadores, y por la que se deroga la Directiva 2010/18/UE del Consejo, y para la simplificación y mejora del nivel asistencial de la protección por desempleo",Trasposición,Pol Social y Empleo,Decaída,Derogado,Sí,SÍ,,,La norma incorpora la directiva europea que recoge una serie de medidas para la conciliación familiar y profesional de los progenitores y los cuidadores.,,,,,
11/2023,Proposición de ley,Proposición de Ley Orgánica sobre crímenes de ETA sin resolver y sus víctimas para el cumplimiento del informe de 21 de abril de 2022 del Comité de Peticiones del Parlamento Europeo (PE702.917v03-00),Trasposición,Justicia,Decaída,Rechazado,Sí,SÍ,,,La iniciativa extrae las recomendaciones y/o las conclusiones del informe sobre la existencia de 379 asesinatos de ETA aún sin resolver del Comité de Peticiones del Parlamento Europeo.,https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000017,,,,
1/2024,Proposición de ley,Proposición de Ley relativa a la conservación del lobo en España y su cohabitación con la ganadería extensiva y la lucha contra el reto demográfico,Aviso,"Sostenibilidad, CClimático, Econ Circular",En tramitación,En la comisión de Transición Ecológica (enmiendas),No,,,,*Se pretende dar cumplimiento a los preceptos de una directiva europea sobre la conservación de los hábitats naturales y de la flora y fauna silvestres.,https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000052,,,https://www.newtral.es/proteccion-lobo/20250528/,
2/2024,Proposición de ley,Proposición de Ley de Familias,Aviso,Pol Social y Empleo,En tramitación,Pleno toma en consideración,No,,(UE) 2019/1158,,* Se incluye la directiva europea 2019/1158 relativa a la conciliación de la vida familiar y la vida profesional de los progenitores y los cuidadores (amplía el permiso de cuidado retribuido anual),https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000059,,,,
3/2024,Proposición de ley,"Proposición de Ley por la que se modifica la Ley 12/2013, de 2 de agosto, de medidas para mejorar el funcionamiento de la cadena alimentaria",Aviso,"Agricult, Pesca, Alimentacion",En tramitación,En la comisión de Agricultura (enmiendas),No,,(UE) 2019/633,,"* Se da cumplimiento a la directiva europea 2019/633 relativa a las prácticas comerciales desleales, y se prohíbe la reventa a pérdidas en la cadena alimentaria.",https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000064,,,,
3/2024,Proposición de ley,"Proposición de Ley Orgánica contra el racismo, la discriminación racial y formas conexas de intolerancia",Aviso,Pol Social y Empleo,En tramitación,Pleno toma en consideración,No,,(UE) 2000/43/CE,,* La propuesta no se olvida de la directiva europea relativa a la aplicación del principio de igualdad de trato de las personas (Directiva 2000/43/CE).,https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000067,,,,
3/2024,Proposición de ley,"Proposición de Ley Orgánica contra la trata de mujeres, niñas y niños, especialmente con fines de explotación sexual",Trasposición,Pol Social y Empleo,En tramitación,Pleno toma en consideración,Sí,SÍ,(UE) 2011/93 y (UE) 2011/36,,El texto pretende dar respuesta a dos directivas europeas: una contra los abusos sexuales y la explotación sexual de los menores y la pornografía infantil (mejora de la transposición de la Directiva 2011/93/UE); y otra sobre la prevención y la lucha contra la trata de seres humanos y sobre la protección de las víctimas (Directiva 2011/36/UE).,https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000069,,,,
3/2024,Proposición de ley,Proposición de Ley sobre acceso al derecho de asilo y solicitudes de protección internacional en embajadas y consulados,Trasposición,Polit. Migratoria,En tramitación,Pleno toma en consideración,Sí,SÍ,,,La presente iniciativa da cumplimiento a una directiva europea al establecer que la formulación o acto de expresar la voluntad de solicitar protección internacional pueda realizarse por cualquier medio admitido en derecho.,https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000071,,,,
3/2024,Proposición de ley,Proposición de Ley Orgánica de regulación de las simulaciones de imágenes y voces de personas generadas por medio de la inteligencia artificial,Aviso,Otros,En tramitación,Pleno toma en consideración,No,,,2022/2065,* Se establece como base para un aspecto en concreto sobre los prestadores de plataformas en línea y de motores de búsqueda en línea el Reglamento (UE) 2022/2065.,https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000073,,,,
4/2024,Proposición de ley,Proposición de Ley de modificación de la prescripción de los delitos contra la libertad sexual cometidos contra menores de edad (Orgánica),Trasposición,Justicia,En tramitación,Comisión de Justicia (enmiendas),Sí,SÍ,(UE) 2011/93,,Mejora la trasposición de la Directiva 2011/ 93/UE (traspuesta en Ley Orgánica 1/2015) para que el plazo de prescripción tenga la duración suficiente para permitir el inicio efectivo de las actuaciones judiciales después de que la víctima haya alcanzado la mayoría de edad y que las penas sean proporcionales a la gravedad del delito.,https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=125/000007,,,,
5/2024,Proposición de ley,Proposición de Ley Orgánica de garantía del derecho a la información veraz y lucha contra la desinformación,Trasposición,Otros,En tramitación,Pleno toma en consideración,Sí,SÍ,,2024/1083,"* La proposición va en consonancia con el Reglamento (UE) 2024/1083, conocido como la ley europea de libertad de los medios de comunicación.",https://www.congreso.es/es/proposiciones-de-ley?p_p_id=iniciativas&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_iniciativas_mode=mostrarDetalle&_iniciativas_legislatura=XV&_iniciativas_id=122/000107,,,,
